MATNR;MAKTX
RP034204;СN TA APPL NORMAL/SUPER 16PCS 370X265X22
RSN08113;АТВ weldable PET/PP 20 gsm OUT WB 430mm
RSN08112;АТВ weldable PET/PP 20 gsm OUT WB 405mm
RSN08111;АТВ weldable PET/PP 20 gsm OUT WB 380mm
RSN07063;АТВ weldable PET/PP 20 gsm INN WB 330mm
RSF03060;free iD - to be reused (RU10)
RSF03061;free iD - to be reused (RU10)
RSF03062;free iD - to be reused (RU10)
RE010007;YARN EL SPANDEX BARE 800 DTEX SD WH C100
RE010008;YARN EL KG6422.120 90MM WHI
RE010009;YARN EL KC6325.210 95MM WHI
RE010003;YARN EL CREORA 940DTEX SD WHI 3KG
RE010002;YARN EL CREORA 800dtex WHI 4.5KG
RE010004;YARN EL CREORA 1100DTEX SD WHI 3KG
RE010024;YARN EL 940 DTEX WHI 3KG H100
RE010018;YARN EL 800DTEX WHI 45KG H100
RE010023;YARN EL 800DTEX WHI 3KG H100
RSE01034;YARN EL 680DTEX WHI 3KG H100_v2
RE010021;YARN EL 680DTEX WHI 3KG H100
RSE01040;YARN EL 620D WHI 3KG
RE010025;YARN EL 1100DTEX WHI 3KG H100
RSG03019;Wetness Indicator Technomelt DM9818
RP090014;WASTE PAPER MS-5B (CARDBOARD) UNCOMPRESS
RP090002;WASTE PAPER
RP090029;WASTE OF STRIP
RP090028;WASTE OF PROPYLENE TWINE
RO540022;WASHING CONCENTRATE 980H063638:SUN CLEAN
RP090032;UP-15-11-3-1 WASTE
RC020228;UNPRINTED 135mm W/O OB
RSN01208;Topsheet JOFO 165 mm 15g P22 R1 Philic W
RO010009;Thermal transfer tape 152*450
RO010008;Thermal transfer label 148*210
RSP02207;Test bag for adult diapers L 10 50 gsm
RSC01096;Tapes 3M for baby diapers 46 mmPH (RSC01
RSC01097;Tapes 3M for baby diapers 46 mmPH (RSC01
RC010080;Tape NW PH hook YEL/TRA FL-R  Multiflex
RC010081;Tape NW PH hook YEL/TRA FL-L  Multiflex
RC010084;Tape NW PH hook WHI/TRA FL-R  Multiflex
RC010085;Tape NW PH hook WHI/TRA FL-L  Multiflex
